Table 115-01016 : Age specific fertility rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women),Age specific fertility rates (Number of live births per 1 000 women)
,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate,Rate
Year,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Age group of mother at childbirth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 - 19,11.7,10.0,9.8,8.4,8.3,7.0,6.2,6.4,6.1,5.9,6.5,6.6,6.9,6.6,5.9,5.9,5.6,5.3,4.8,4.6,4.3,3.9,3.6,3.8,3.4,3.2,3.2,3.0,3.1,3.3,3.2,2.8,2.8,3.1,2.9,2.7,2.7,2.2,1.9,1.7,1.3,1.2,0.9
 15 - 20,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7.7,7.3,6.9,6.6,6.3,6.1,5.8,5.3,5.4,4.9,4.7,4.6,4.3,4.5,5.1,4.8,3.8,3.9,4.3,4.0,4.0,3.9,3.1,2.9,2.4,1.9,1.6,1.3
20 - 24,85.9,80.3,75.7,63.8,58.4,48.6,42.7,43.0,40.4,39.9,39.1,45.4,49.2,48.7,42.6,37.1,33.5,31.2,31.1,31.6,29.1,30.5,29.0,28.9,27.2,25.0,23.6,23.0,24.5,25.2,26.6,21.1,18.3,19.6,19.3,17.8,17.0,15.4,14.5,11.6,9.0,7.4,7.5
25 - 29,153.0,149.4,140.0,126.9,121.7,111.9,106.1,111.8,100.1,99.2,97.4,99.9,94.8,94.7,90.4,80.7,73.2,64.6,61.9,64.6,57.2,58.8,57.4,57.4,58.0,56.5,56.7,56.3,54.4,57.5,63.6,64.5,55.0,60.9,59.2,59.1,54.4,50.6,48.2,36.6,29.4,27.0,28.9
30 - 34,97.3,94.4,86.7,82.3,80.9,78.5,79.9,88.6,82.3,80.0,81.2,84.9,84.0,86.7,84.7,78.6,75.7,67.9,65.0,70.0,61.7,62.3,57.9,61.3,66.9,71.6,75.6,79.5,78.2,83.6,86.6,99.7,85.3,94.9,91.8,93.0,86.2,85.1,85.6,72.3,63.8,57.6,61.5
35 - 39,34.4,34.7,30.5,28.6,27.7,26.9,26.8,29.2,29.0,28.3,30.4,31.0,31.1,31.8,31.9,31.8,32.3,29.9,28.9,31.2,29.3,27.6,26.9,27.8,31.2,35.1,39.6,43.2,43.3,47.8,51.8,57.5,52.4,56.9,55.2,57.3,54.6,52.2,52.0,45.1,42.3,38.6,42.8
40 - 44,6.8,6.2,5.0,5.0,4.7,4.0,4.3,4.9,4.9,4.4,4.5,4.6,4.7,4.5,4.8,5.0,5.4,4.8,4.7,4.7,4.7,4.4,4.6,4.6,4.8,5.2,5.8,6.9,6.8,7.6,8.7,10.8,10.7,11.3,10.9,11.4,11.2,10.8,10.9,9.4,8.7,8.3,9.3
