Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Afghanistan,AFG,142.96,152.572,101.454,97.415,94.018,90.342,88.431,86.803,84.296,82.565,79.735,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Albania,ALB,14.815,14.792,20.942,20.276,18.171,16.585,15.58,15.013,14.672,14.517,14.46,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Algeria,DZA,24.322,9.302,12.771,11.888,12.731,12.872,12.654,12.303,12.057,11.714,11.564,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,American Samoa,ASM,53.99,50.092,44.618,43.031,39.35,35.06,32.192,30.65,30.191,30.036,29.989,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Andorra,AND,10.656,9.281,6.925,7.402,7.176,6.404,6.08,5.985,6.091,5.887,5.91,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Angola,AGO,198.803,177.316,151.093,148.074,146.135,145.235,142.575,141.278,139.825,138.402,135.792,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Antigua and Barbuda,ATG,82.867,63.429,33.422,34.834,30.373,30.352,27.548,30.83,32.959,33.11,32.262,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Argentina,ARG,70.928,66.54,67.791,65.395,61.852,57.783,51.029,46.153,39.866,39.065,37.932,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Armenia,ARM,73.201,36.644,27.222,24.66,24.621,21.379,19.533,19.041,18.571,18.511,18.305,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Aruba,ABW,58.584,44.859,35.15,28.989,27.419,24.888,20.086,18.906,16.522,14.154,13.697,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Australia,AUS,21.673,17.357,13.249,12.322,10.968,10.43,9.983,8.938,8.081,8.096,7.731,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Austria,AUT,22.827,14.06,7.947,7.913,7.637,6.991,5.855,5.499,5.363,5.521,5.243,..
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Azerbaijan,AZE,31.329,33.89,64.142,63.093,58.812,47.11,45.088,49.404,41.797,40.079,40.081,..
